Marvel Super Heroes vs. Street Fighter (Japan)	MSHVSSFSat
X-Men vs. Street Fighter (Japan) (1M)	XMENVSSFSat
X-Men vs. Street Fighter (Japan) (2M)	XMENVSSFSat
X-Men vs. Street Fighter (Japan) (3M)	XMENVSSFSat
X-Men - Children of the Atom (Japan)	XMENChildrenSat
X-Men - Children of the Atom (USA)	XMENChildrenSat
X-Men - Children of the Atom (Europe) (2S)	XMENChildrenSat
X-Men - Children of the Atom (Europe) (3S)	XMENChildrenSat
Virtua Fighter 2 (USA)	VF2Sat
Waku Waku 7 (Japan)	WakuWaku7
Virtua Fighter Remix (USA)	VFRemix
Virtua Fighter (USA)	VFRemix
Virtua Fighter Kids (USA)	VFKidsSat
Street Fighter - The Movie (USA)	SFTMSat
